slug,name,region,district,category,gender
obrachire-senior-high-tech,Obrachire Senior High/Tech,Central,Awutu Senya,C,Mixed
oda-senior-high,Oda Senior High,Eastern,Birim Central,B,Mixed
odoben-senior-high,Odoben Senior High,Central,Asikuma/Odoben/Brakwa,C,Mixed
odomaseman-senior-high,Odomaseman Senior High,Bono,Sunyani West,B,Mixed
odupong-comm-day-school,Odupong Comm. Day School,Central,Awutu Senya East,C,Mixed
offinso-technical-institute,Offinso Technical Institute,Ashanti,Offinso,C,Mixed
ofoase-kokoben-senior-high,Ofoase Kokoben Senior High,Ashanti,Bekwai,B,Mixed
oguaa-senior-high-tech,Oguaa Senior High/Tech,Central,Cape Coast,C,Mixed
ogyeedom-comm-snr-high-tech,Ogyeedom Comm.Snr High/Tech,Central,Gomoa Central,C,Mixed
okadjakrom-senior-high-tech,Okadjakrom Senior High/Tech.,Oti,Jasikan,B,Mixed
okomfo-anokye-senior-high,Okomfo Anokye Senior High,Ashanti,Sekyere South,B,Mixed
onwe-senior-high-senior,Onwe Senior High School,Ashanti,Ejisu Municipal,C,Mixed
opoku-agyeman-senior-high-tech,Opoku Agyeman Senior High/Tech,Ashanti,Mampong,C,Mixed
oppong-mem-senior-high,Oppong Mem. Senior High,Ashanti,Bekwai,B,Mixed
opportunities-industralisation-technical-inst,Opportunities Industralisation Technical Inst.,Western,Sekondi Takoradi,C,Mixed
osei-adutwum-senior-high,Osei Adutwum Senior High,Ashanti,Bosomtwe,C,Mixed
osei-bonsu-senior-high,Osei Bonsu Senior High,Bono East,Nkoranza North,B,Mixed
osudoku-senior-high-tech,Osudoku Senior High/Tech.,Greater Accra,Shai-Osudoku,C,Mixed
otaakrom-technical-institute,Otaakrom Technical Institute,Ashanti,Atwima Mponua,C,Mixed
oti-senior-high-tech-sch,Oti Senior High/Tech Sch,Oti,Krachi East,C,Mixed
otumfuo-osei-tutu-ii-college,Otumfuo Osei Tutu II College,Ashanti,Afigya-Kwabre,B,Mixed
our-lady-of-fatima-technical-institute,Our Lady of Fatima Technical Institute,Bono,Jaman North,B,Mixed
our-lady-of-mercy-senior-high,Our Lady of Mercy Senior High,Greater Accra,Tema,B,Mixed
our-lady-of-mount-carmel-girls-senior-high-techiman,Our Lady of Mount Carmel Girls Senior High,Bono East,Techiman,B,Girls
owerriman-senior-high,Owerriman Senior High/Tech,Ashanti,Asante Akim North,C,Mixed
paga-senior-high,Paga Senior High,Upper East,Kasena-Nankani West,C,Mixed
pakyi-applied-technology-institute,Pakyi Applied Technology Institute,Ashanti,Amansie West,C,Mixed
parkoso-comm-senior-high,Parkoso Comm. Senior High,Ashanti,Asokore Mampong Municipal,C,Mixed
peki-senior-high,Peki Senior High,Volta,South Dayi,B,Mixed
peki-senior-high-technical,Peki Senior High/Technical,Volta,South Dayi,C,Mixed
piina-senior-high,Piina Senior High,Upper West,Lambussie-Karni,C,Mixed
pong-tamale-senior-high,Pong-Tamale Senior High,Northern,Savelugu-Nanton Municipal,C,Mixed
potsin-t-i-ahm-senior-high,Potsin T.I. Ahm. Senior High,Central,Gomoa East,C,Mixed
prampram-senior-high,Prampram Senior High,Greater Accra,Ningo Prampram,B,Mixed
prampram-technical-institute,Prampram Technical Institute,Greater Accra,Ningo Prampram,C,Mixed
prang-senior-high,Prang Senior High,Bono East,Pru,B,Mixed
presby-boys-model-senior-high,Presby Boys Model Senior High,Eastern,Denkyembour,C,Boys
presby-shts-nankpanduri,"Presby SHTS, Nankpanduri",North East,Bunkpurugu-Nakpanduri,C,Mixed
presby-senior-high-begoro,"Presby Senior High, Begoro",Eastern,Fanteakwa North,B,Mixed
presby-senior-high-tech-adukrom,"Presby Senior High/Tech, Adukrom",Eastern,Okere,C,Mixed
presby-senior-high-tech-kwamang,"Presby Senior High/Tech, Kwamang",Ashanti,Sekyere Central,C,Mixed
prestea-senior-high-tech,Prestea Senior High/Tech,Western,Prestea Huni Valley,C,Mixed
prince-of-peace-girls,Prince Of Peace Girls,Ashanti,Kumasi Metro,C,Girls
pusiga-comm-day-senior-high-sch,Pusiga Comm. Day Senior High Sch.,Upper East,Pusiga,C,Mixed
ramseyer-technical-institute,Ramseyer Technical Institute,Ashanti,Asokwa,C,Mixed
s-d-a-senior-high-school-gomoa-jukwa,"S.D.A Senior High School, Gomoa Jukwa",Central,Gomoa Central,C,Mixed
s-d-a-senior-high-koforidua,"S.D.A Senior High, Koforidua",Eastern,New Juaben North Municipal,B,Mixed
s-d-a-senior-high-sunyani,"S.D.A Senior High, Sunyani",Bono,Sunyani,B,Mixed
s-d-a-senior-high-agona,"S.D.A. Senior High, Agona",Ashanti,Sekyere South,B,Mixed
s-d-a-senior-high-bekwai,"S.D.A. Senior High, Bekwai",Ashanti,Bekwai,B,Mixed
saboba-e-p-senior-high,Saboba E.P. Senior High,Northern,Saboba,C,Mixed
sabronum-methodist-senior-high-tech,Sabronum Methodist Senior High/Tech,Ashanti,Ahafo Ano South,C,Mixed
sacred-heart-senior-high-nsoatre,"Sacred Heart Senior High, Nsoatre",Bono,Sunyani West,B,Mixed
sacred-heart-tech-inst,Sacred Heart Tech. Inst.,Greater Accra,Accra,B,Mixed
sakafia-islamic-senior-high,Sakafia Islamic Senior High,Ashanti,Asokore Mampong Municipal,B,Mixed
sakogu-senior-high-tech,Sakogu Senior High/Tech,North East,East Mamprusi,C,Mixed
salaga-senior-high,Salaga Senior High,Savannah,East Gonja,C,Mixed
salaga-t-i-ahmad-senior-high,Salaga T.I. Ahmad Senior High,Savannah,East Gonja,C,Mixed
salaga-technical-institute,Salaga Technical Institute,Savannah,East Gonja,C,Mixed
salvation-army-senior-high-aboabo-dormaa,Salvation Army Senior High,Bono,Dormaa Central,B,Mixed
salvation-army-senior-high-akim-wenchi,"Salvation Army Senior High, Akim Wenchi",Eastern,Denkyembour,C,Mixed
samuel-otu-presby-senior-high,Samuel Otu Presby Senior High.,Ahafo,Tano South,B,Mixed
sandema-senior-high,Sandema Senior High,Upper East,Builsa North,C,Mixed
sandema-technical-institute,Sandema Technical Institute,Upper East,Builsa North,C,Mixed
sang-comm-day-school,Sang Comm. Day School,Northern,Mion,C,Mixed
sankor-comm-day-school,Sankor Senior High School,Western,Ahanta West,C,Mixed
sankore-senior-high,Sankore Senior High,Ahafo,Asunafo South,B,Mixed
santa-esther-girls-senior-high,Santa Esther Girls' Senior High,Volta,Hohoe Municipal,C,Girls
savelugu-senior-high,Savelugu Senior High,Northern,Savelugu-Nanton Municipal,C,Mixed
savelugu-technical-institute,Savelugu Technical Institute,Northern,Savelugu-Nanton Municipal,C,Mixed
saviour-senior-high-osiem,"Saviour Senior High, Osiem",Eastern,Abuakwa North Municipal,B,Mixed
sawla-girls-vocational-institute,Sawla Girls Vocational Institute,Savannah,Sawla Tuna Kalba,C,Girls
sawla-senior-high-sch,Sawla Senior High Sch.,Savannah,Sawla Tuna Kalba,C,Mixed
sefwi-bekwai-senior-high,Sefwi Bekwai Senior High,Western North,Bibiani Anhwiaso Bekwai,B,Mixed
sefwi-wiawso-senior-high,Sefwi-Wiawso Senior High,Western North,Sefwi Wiawso,B,Mixed
sefwi-wiawso-senior-high-tech,Sefwi-Wiawso Senior High/Tech,Western North,Sefwi Wiawso,B,Mixed
sekyedumase-senior-high-tech,Sekyedumase Senior High/Tech,Ashanti,Ejura Sekyedumase,B,Mixed
sekyere-kusi-senior-high-school,Sekyere Kusi Senior High School,Ashanti,Sekyere Kumawu,C,Mixed
senya-senior-high,Senya Senior High School,Central,Awutu Senya,C,Mixed
serwaah-nyarko-girls-snr-high,Serwaah Nyarko Girls' Snr. High,Ashanti,Kumasi Metro,B,Girls
shama-senior-high,Shama Senior High,Western,Shama,B,Mixed
shama-technical-institute,Shama Technical Institute,Western,Shama,C,Mixed
shia-senior-hightechnical,Shia Senior HighTechnical,Volta,Ho Municipal,C,Mixed
siddiq-senior-high-sch,Siddiq Senior High Sch.,Central,Agona West,B,Mixed
simms-senior-high-com,Simms Senior High/Com.,Ashanti,Kwabre East,C,Mixed
sirigu-senior-high,Sirigu Senior High,Upper East,Kasena-Nankani West,C,Mixed
social-welfare-girls-technical-institute,Social Welfare Girls' Technical Institute,Central,Cape Coast,C,Girls
social-welfare-technical-institute-sunyani,"Social Welfare Technical Institute, Sunyani",Bono,Sunyani,C,Mixed
sogakope-senior-high,Sogakofe Senior High,Volta,South Tongu Municipal,B,Mixed
sokode-senior-high-tech,Sokode Senior High/Tech,Volta,Ho Municipal,C,Mixed
somanya-technical-institute,Somanya Technical Institute,Eastern,Yilo Krobo,C,Mixed
sombo-senior-high,Sombo Senior High,Upper West,Nadowli-Kaleo,C,Mixed
some-senior-high,Some Senior High,Volta,Ketu South,C,Mixed
south-labone-girls-technical-institute,South Labone Girls Technical Institute,Greater Accra,Korle Klottey,C,Girls
spiritan-senior-high,Spiritan Senior High/Tech,Ashanti,Atwima Nwabiagya North Municipal,C,Mixed
st-anne-s-vocational-training-institute,St Anne's Vocational Training Institute,Upper West,Nandom,B,Girls
st-sebastian-cath-senior-high,St Sebastian Cath. Senior High,Ashanti,Juaben Municipal,C,Mixed
st-theresa-s-technical-institute,St Theresa's Technical Institute,Oti,Krachi Nchumuru,C,Mixed
st-ann-s-girls-senior-high-sampa,"St. Ann's Girls Senior High, Sampa",Bono,Jaman North,B,Girls
st-ann-s-technical-institute,St. Ann's Technical Institute,Western,Sekondi Takoradi,C,Girls
st-anthony-of-padua-senior-high-tech,St. Anthony of Padua Senior High/Tech,Savannah,Bole,C,Mixed
st-augustine-senior-high-nsapor-berekum,St. Augustine Senior High School,Bono,Berekum West,C,Mixed
st-augustine-senior-high-tech-saan-charikpong,"St. Augustine Senior High/Tech, Saan Charikpong",Upper West,Nadowli,C,Mixed
st-basilides-voc-tech-inst,St. Basilides Voc./Tech. Inst.,Upper West,Nadowli-Kaleo,B,Mixed
st-bernadettes-tech-voc,St. Bernadettes Tech/Voc. Institute,Upper East,Kasena-Nankani East,C,Mixed
st-charles-senior-high-tamale,"St. Charles Senior High, Tamale",Northern,Tamale Metro,A,Boys
st-clare-s-technical-institute,St. Clare's Technical Institute,Upper West,Sisala East,C,Mixed
st-daniel-comboni-tech-voc-inst,St. Daniel Comboni Technical Institute,Volta,Afadzto South,B,Mixed
st-dominic-s-senior-high-tech-pepease,"St. Dominic's Senior High/Tech, Pepease",Eastern,Kwahu East,B,Mixed
st-fidelis-senior-high-tech,St. Fidelis Senior High/Tech,Eastern,Kwahu Afram Plains South,C,Mixed
st-francis-girls-senior-high-jirapa,"St. Francis Girls Senior High, Jirapa",Upper West,Jirapa,A,Girls
st-francis-seminary-senior-high-buoyem,"St. Francis Seminary Senior High, Buoyem",Bono East,Techiman North,C,Boys
st-francis-senior-high-tech-akim-oda,St. Francis Senior High/Tech,Eastern,Birim Central,B,Mixed
st-george-s-senior-high-tech,St. George's Senior High Tech.,Ashanti,Bosomtwe,C,Mixed
st-jerome-senior-high-abofour,"St. Jerome Senior High, Abofour",Ashanti,Offinso,B,Mixed
st-john-s-integrated-snr-high-tech,St. John's Integrated Snr. High/Tech,Upper East,Kasena-Nankani Municipal,C,Mixed
st-john-s-voc-tech-institute,St. John's Voc. Tech. Institute,Upper West,Nandom,B,Mixed
st-joseph-sem-senior-high-mampong,"St. Joseph Sem/Senior High, Mampong",Ashanti,Mampong,C,Mixed
st-joseph-senior-high-sefwi-wiawso,"St. Joseph Senior High, Sefwi Wiawso",Western North,Sefwi Wiawso,B,Mixed
st-joseph-senior-high-tech-ahwiren,"St. Joseph Senior High/Tech, Ahwiren",Ashanti,Bekwai,B,Mixed
st-joseph-s-tech-inst,St. Joseph's Tech. Inst.,Eastern,Kwahu East,B,Mixed
st-joseph-s-tech-inst-saboba,"St. Joseph's Tech. Inst., Saboba",Northern,Saboba,B,Mixed
st-martin-s-senior-high-nsawam,"St. Martin's Senior High, Nsawam",Eastern,Nsawam Adoagyiri Municipal,B,Mixed
st-mary-s-sem-senior-high-lolobi,St. Mary's Sem.& Senior High School,Oti,Guan,B,Boys
st-mary-s-voc-tech-inst,St. Mary's Voc./Tech. Inst.,Eastern,Kwahu Afram Plains North,C,Girls
st-michael-s-senior-high-ahenkro,"St. Michael's Senior High, Ahenkro",Ashanti,Afigya-Kwabre,B,Mixed
st-michael-s-senior-high-akoase-nkawkaw,"St. Michael's Senior High, Akoase (Nkawkaw)",Eastern,Birim North,C,Mixed
st-michael-tech-voc-inst,St. Michael's Technical Institute,Ashanti,Bosomtwe,B,Mixed
st-paul-s-senior-high-denu,"St. Paul's Senior High, Denu",Volta,Ketu South,C,Boys
st-stephen-s-presby-snr-high-tech-asiakwa,"St. Stephen's Presby Snr. High/Tech, Asiakwa",Eastern,Abuakwa South Municipal,C,Mixed
st-thomas-senior-high-tech,St. Thomas Senior High/Tech,Eastern,West Akim,C,Mixed
sumaman-senior-high,Sumaman Senior High,Bono,Jaman North,B,Mixed
suntreso-technical-institute,Suntreso Technical Institute,Ashanti,Kumasi Metro,C,Mixed
sunyani-methodist-technical-inst,Sunyani Methodist Technical Inst.,Bono,Sunyani,C,Mixed
swedru-sch-of-business,Swedru Sch. Of Business,Central,Agona West,C,Mixed
swedru-senior-high,Swedru Senior High,Central,Agona East,B,Mixed
t-i-ahmadiyya-girl-s-senior-high-asokore,T. I. Ahmadiyya Girl's Senior High,Ashanti,Sekyere East,B,Girls
t-i-ahmadiyya-senior-high-wa,"T. I. Ahmadiyya Senior High, Wa",Upper West,Wa Municipal,B,Mixed
tsc-technical-institute-asankragwa,TSC Technical Institute - Asankragwa,Western,Wassa Amenfi West,C,Mixed
tsc-technical-institute-bibiani,TSC Technical Institute - Bibiani,Western North,Bibiani Anhwiaso Bekwai,C,Mixed
tsc-technical-institute-garu,TSC Technical Institute - Garu,Upper East,Tempane,C,Mixed
tsc-technical-institute-kassena-nankana,TSC Technical Institute -Kassena Nankana,Upper East,Kasena-Nankani East,C,Mixed
tsc-technical-institute-asamankese,"TSC Technical Institute, Asamankese",Eastern,West Akim Municipal,C,Mixed
tsc-technical-institute-assin-edubiase,"TSC Technical Institute, Assin Edubiase",Central,Assin Central Municipal,C,Mixed
tsc-technical-institute-awutu-breku,"TSC Technical Institute, Awutu Breku",Central,Awutu Senya,C,Mixed
tsc-technical-institute-bechem,"TSC Technical Institute, Bechem",Ahafo,Tano South,C,Mixed
tsc-technical-institute-bekwai,"TSC Technical Institute, Bekwai",Ashanti,Bekwai,C,Mixed
tsc-technical-institute-donkorkrom,"TSC Technical Institute, Donkorkrom",Eastern,Kwahu Afram Plains North,C,Mixed
tsc-technical-institute-drobo,"TSC Technical Institute, Drobo",Bono,Jaman South,C,Mixed
tsc-technical-institute-goaso,"TSC Technical Institute, Goaso",Ahafo,Asunafo North,C,Mixed
tsc-technical-institute-konongo,"TSC Technical Institute, Konongo",Ashanti,Asante Akim Central Municipal,C,Mixed
tsc-technical-institute-mampong,"TSC Technical Institute, Mampong",Ashanti,Mampong,C,Mixed
tsc-technical-institute-nadowli-kaleo,"TSC Technical Institute, Nadowli - Kaleo",Upper West,Nadowli-Kaleo,C,Mixed
tsc-technical-institute-sekyere-kumawu,"TSC Technical Institute, Sekyere Kumawu",Ashanti,Sekyere Kumawu,C,Mixed
takpo-senior-high-sch,Takpo Senior High Sch.,Upper West,Nadowli,C,Mixed
tarkrosi-comm-senior-high,Takrowase Comm. Senior High,Eastern,Denkyembour,C,Mixed
takrowase-technical-institute,Takrowase Technical Institute,Eastern,Kwaebibirem,C,Mixed
tamale-girls-senior-high,Tamale Girls Senior High,Northern,Tamale Metro,B,Girls
tanyigbe-senior-high,Tanyigbe Senior High,Volta,Ho Municipal,C,Mixed
tapaman-senior-high-tech,Tapaman Senior High/Tech,Oti,Biakoye,C,Mixed
tarkwa-technical-institute,Tarkwa Technical Institute,Western,Wassa West,B,Mixed
tatale-e-p-agric-senior-high-tech,Tatale Technical Institute,Northern,Tatale Sanguli,C,Mixed
taviefe-comm-senior-high,Taviefe Senior High,Volta,Ho Municipal,C,Mixed
tawheed-senior-high,Tawheed Senior High.,Ashanti,Asokore Mampong Municipal,B,Mixed
techiman-senior-high,Techiman Senior High,Bono East,Techiman,B,Mixed
tempane-senior-high,Tempane Senior High,Upper East,Tempane,C,Mixed
tepa-senior-high,Tepa Senior High,Ashanti,Ahafo Ano North,B,Mixed
terchire-senior-high,Terchire Senior High,Ahafo,Tano North,C,Mixed
tetrefu-technical-institute,Tetrefu Technical Institute,Ashanti,Bosomtwe,C,Mixed
tibani-technical-institute,Tibani Technical Institute,Upper West,Kaleo Nadowu,C,Mixed
tijjaniya-senior-high,Tijjaniya Senior High,Ashanti,Sekyere East,C,Mixed
toase-senior-high,Toase Senior High,Ashanti,Atwima Nwabiagya,B,Mixed
toh-kpalime-technical-institute,Toh-Kpalime Technical Institute,Volta,South Dayi,C,Mixed
tolon-senior-high,Tolon Senior High,Northern,Tolon,C,Mixed
tongo-senior-high-tech,Tongo Senior High/Tech,Upper East,Talensi,C,Mixed
tongor-senior-high-tech,Tongor Senior High Tech.,Volta,South Dayi,B,Mixed
tsiame-senior-high,Tsiame Senior High,Volta,Anlo Keta,C,Mixed
tsibu-technical-institute,Tsibu Technical Institute,Volta,Ho West,C,Mixed
tsito-senior-high-tech,Tsito Senior High/Tech,Volta,Ho West,C,Mixed
tumu-senior-high-tech,Tumu Senior High/Tech.,Upper West,Sisala East,C,Mixed
tuna-senior-high-tech,Tuna Senior High/Tech.,Savannah,Sawla Tuna Kalba,C,Mixed
tuobodom-senior-high-tech,Tuobodom Senior High/Tech,Bono East,Techiman North,B,Mixed
tutu-methodist-technical-institute,Tutu Methodist Technical Institute,Eastern,Akwapim North Municipal,C,Mixed
tweapease-senior-high-school,Tweapease Senior High School,Ashanti,Amansie Central,C,Mixed
twedie-technical-institute,Twedie Technical Institute,Ashanti,Atwima Kwanwoma,C,Mixed
twene-amanfo-senior-high-tech,Twene Amanfo Senior High/Tech.,Bono,Sunyani,B,Mixed
twereku-ampem-senior-high-school,Twereku Ampem Senior High School,Ahafo,Asutifi North,C,Mixed
twifo-hemang-senior-high-tech,Twifo Hemang Senior High/Tech,Central,Twifo Hemang Lower Denkyira,B,Mixed
twifo-praso-senior-high,Twifo Praso Senior High,Central,Twifo Ati-Morkwa,B,Mixed
ullo-senior-high,Ullo Senior High,Upper West,Jirapa,C,Mixed
university-practice-senior-high,University Practice Senior High,Central,Cape Coast,B,Mixed
uthman-bin-afam-shs,Uthman Bin Affan Islamic SHS,Western,Ellembele,C,Mixed
uthmaniya-senior-high-tafo,"Uthmaniya Senior High, Tafo",Ashanti,Kumasi Metro,C,Mixed
vakpo-senior-high,Vakpo Senior High,Volta,North Dayi,B,Mixed
vakpo-senior-high-tech,Vakpo Senior High/Tech,Volta,North Dayi,C,Mixed
ve-comm-senior-high,Ve Comm. Senior High,Volta,Afadzto South,C,Mixed
ve-golokwati-technical-institute,Ve- Golokwati Technical Institute,Volta,Afadzto South,C,Mixed
vitting-senior-high-tech,Vitting Senior High/Tech.,Northern,Tamale Metro,C,Mixed
volo-comm-senior-high,Volo Comm. Senior High,Volta,North Tongu,C,Mixed
volta-senior-high-school,Volta Senior High School,Volta,Anlo Keta,C,Mixed
volta-tech-inst,Volta Tech Inst,Volta,Ho Municipal,C,Mixed
wa-senior-high,Wa Senior High .,Upper West,Wa Municipal,B,Mixed
wa-senior-high-tech,Wa Senior High/Tech.,Upper West,Wa Municipal,C,Mixed
walewale-senior-high,Walewale Senior High,North East,West Mamprusi,C,Mixed
walewale-tech-voc-inst,Walewale Technical Institute,North East,West Mampusi,C,Mixed
wamanafo-senior-high-tech,Wamanafo Senior High/Tech,Bono,Dormaa East,B,Mixed
wapuli-comm-senior-high,Wapuli Comm. Senior High,Northern,Saboba,C,Mixed
wesley-high-school-bekwai,"Wesley High School, Bekwai",Ashanti,Bekwai,C,Mixed
wesley-senior-high-konongo,"Wesley Senior High, Konongo .",Ashanti,Asante Akim Central Municipal,B,Mixed
weta-senior-high-tech,Weta Senior High/Tech.,Volta,Ketu North,C,Mixed
wiafe-akenten-presby-senior-high,Wiafe Akenten Presby Senior High,Ashanti,Offinso North,C,Mixed
wiaga-comm-senior-high,Wiaga Comm. Senior High,Upper East,Builsa North,C,Mixed
wioso-shs,Wioso SHS,Ashanti,Ahafo-Ano South West,C,Mixed
woe-technical-institute,Woe Technical Institute,Volta,Keta Municipal,C,Mixed
worawora-senior-high,Worawora Senior High,Oti,Biakoye,C,Mixed
wovenu-senior-high-technical,Wovenu Senior High Technical,Volta,Ketu North,C,Mixed
wulensi-senior-high,Wulensi Senior High,Northern,Nanumba South,C,Mixed
wulugu-senior-high,Wulugu Senior High,North East,West Mamprusi,C,Mixed
yaa-pokua-technical-institute,Yaa Pokua Technical Institute,Ashanti,Offinso North,C,Mixed
yabram-comm-day-school,Yabram Comm. Day School,Oti,Krachi East,C,Mixed
yagaba-senior-high-school,Yagaba Senior High School,North East,Mamprugu Moaduri,C,Mixed
yamfo-anglican-senior-high-school,Yamfo Anglican Senior High School,Ahafo,Tano North,B,Mixed
yamfo-technical-institute,Yamfo Technical Institute,Ahafo,Tano North,A,Mixed
yeboah-asuamah-senior-high,Yeboah Asuamah Senior High,Bono East,Techiman,B,Mixed
yeji-senior-high-tech,Yeji Senior High/Tech,Bono East,Pru,B,Mixed
yendi-senior-high,Yendi Senior High,Northern,Yendi,B,Mixed
yizesi-senior-high-school,Yizesi Senior High School,North East,Mamprugu Moaduri,C,Mixed
yunyoo-senior-high-school,Yunyoo Senior High School,North East,Yunyoo-Nasuan,C,Mixed
zabzugu-senior-high,Zabzugu Senior High,Northern,Zabzugu,C,Mixed
zabzugu-technical-institute,Zabzugu Technical Institute,Northern,Zabzugu,C,Mixed
zamse-senior-high-tech,Zamse Senior High/Tech,Upper East,Bolgatanga Municipal,C,Mixed
zebilla-senior-high-tech,Zebilla Senior High/Tech,Upper East,Bawku West,B,Mixed
akpafu-senior-high-tech,Ziavi Senior High/Tech,Volta,Ho Municipal,C,Mixed
ziope-senior-high-sch,Ziope Senior High Sch.,Volta,Agortime Ziope,C,Mixed
zorkor-senior-high,Zorkor Senior High,Upper East,Bongo,C,Mixed
zugu-dabogni-technical-institute,Zugu Dabogni Technical Institute,Northern,Kumbungu,C,Mixed
